Aikaleima (dd.mm.yyyy hh:mm);Viikko;Kulutus (kWh);Aurinkovoima (kWh);Tuulivoima;Vesivoima;Ydinvoima;Yhteistuotanto;Erillinen lämpövoima
01.01.2020 00:00;1;10431136;0;1584729;1330181;2798287;2782765;255784
01.01.2020 01:00;1;10105347;0;1458849;1291934;2798641;2773912;253717
01.01.2020 02:00;1;9770137;0;1415809;1112155;2798840;2763375;230067
01.01.2020 03:00;1;9633372;0;1366670;1064216;2798766;2770743;224098
01.01.2020 04:00;1;9616853;0;1197578;1023832;2798291;2784689;222722
01.01.2020 05:00;1;9666221;0;1056367;1047475;2797808;2816730;215077
01.01.2020 06:00;1;9847169;0;1004374;1010290;2798317;2787197;259623
01.01.2020 07:00;1;9874677;0;973383;1058362;2798256;2848197;228892
01.01.2020 08:00;1;10085766;0;1033406;1234699;2798259;2896130;220047
01.01.2020 09:00;1;10057076;56;1109621;1255915;2798300;2953631;195601
01.01.2020 10:00;1;10130165;1655;1228688;1310273;2798349;2980398;201191
01.01.2020 11:00;1;10282376;2823;1392494;1349419;2798475;3035306;200915
01.01.2020 12:00;1;10315195;5004;1523211;1347648;2797815;3031873;190411
01.01.2020 13:00;1;10336257;3878;1584133;1285764;2796958;3036940;188579
01.01.2020 14:00;1;10409187;1675;1631063;1261049;2797424;3031937;196687
01.01.2020 15:00;1;10718670;0;1598004;1323163;2797355;3037113;191717
01.01.2020 16:00;1;10938048;0;1613477;1517318;2797144;3024053;194960
01.01.2020 17:00;1;10985717;0;1657772;1685117;2797452;3014122;190394
01.01.2020 18:00;1;10999041;0;1610860;1777786;2797071;2955245;176437
01.01.2020 19:00;1;10931605;0;1679408;1768070;2797250;2881695;187249
01.01.2020 20:00;1;10668868;0;1669082;1786168;2797076;2858931;188308
01.01.2020 21:00;1;10257407;0;1732967;1695524;2797333;2834117;185905
01.01.2020 22:00;1;10469398;0;1812337;1481161;2797428;2731025;223494
01.01.2020 23:00;1;10271008;0;1852255;1125494;2797354;2672430;251625
02.01.2020 00:00;1;9895703;0;1838500;1030827;2797649;2614835;234254
02.01.2020 01:00;1;9574168;0;1903971;981293;2797800;2507257;231227
02.01.2020 02:00;1;9374284;0;1925341;1003158;2798098;2493097;244463
02.01.2020 03:00;1;9246564;0;1934335;985429;2797470;2510752;237213
02.01.2020 04:00;1;9306852;0;1955983;1019672;2797590;2520873;253184
02.01.2020 05:00;1;9541492;0;1935445;1145367;2797950;2550034;251840
02.01.2020 06:00;1;10192762;0;1822089;1236733;2798287;2679010;249757
02.01.2020 07:00;1;10628557;0;1757369;1410841;2798614;2777007;245440
02.01.2020 08:00;1;10951793;0;1719211;1497724;2799009;2777167;240579
02.01.2020 09:00;1;10931769;24;1756227;1661962;2799080;2803225;224716
02.01.2020 10:00;1;10887484;2656;1793443;1698849;2798215;2813185;217777
02.01.2020 11:00;1;10870646;6542;1812066;1774717;2797841;2804766;231714
02.01.2020 12:00;1;10899484;9210;1835805;1660659;2798468;2796842;233292
02.01.2020 13:00;1;10882759;7533;1876119;1708118;2798592;2791151;221061
02.01.2020 14:00;1;10865888;2580;1912806;1630085;2799172;2808292;211489
02.01.2020 15:00;1;11094060;0;1952244;1657385;2799105;2800000;215239
02.01.2020 16:00;1;11202179;0;1983252;1873734;2799367;2799000;220900
02.01.2020 17:00;1;11251191;0;1983252;1958778;2799378;2826517;227787
02.01.2020 18:00;1;11178098;0;1951929;1953797;2799211;2821575;218436
02.01.2020 19:00;1;11149142;0;1969447;1751104;2799612;2831364;222794
02.01.2020 20:00;1;10951008;0;1975118;1529016;2799916;2844077;230480
02.01.2020 21:00;1;10578392;0;1986273;1312810;2800001;2800075;202716
02.01.2020 22:00;1;10615801;0;1978337;1269010;2799999;2660199;202531
02.01.2020 23:00;1;10400219;0;1970744;1082784;2800041;2543342;212781
03.01.2020 00:00;1;9927051;0;1994732;970143;2799914;2373996;236218
03.01.2020 01:00;1;9524914;0;1976579;936957;2800527;2211340;311854
03.01.2020 02:00;1;9384694;0;1959907;833910;2798840;2313524;234927
03.01.2020 03:00;1;9327856;0;1969729;797284;2800005;2315280;231979
03.01.2020 04:00;1;9378638;0;1973571;775580;2800182;2308547;235033
03.01.2020 05:00;1;9656500;0;1978521;782944;2800347;2355455;236652
03.01.2020 06:00;1;10286930;0;1956628;1051895;2799861;2468759;230112
03.01.2020 07:00;1;10644547;0;1958620;1208635;2799785;2644250;213529
03.01.2020 08:00;1;10913723;0;1968022;1639937;2799941;2696287;216070
03.01.2020 09:00;1;10980286;0;1965459;1645944;2799791;2740011;224422
03.01.2020 10:00;1;10944244;1455;1980368;1654217;2799976;2743322;216060
03.01.2020 11:00;1;10980978;2989;1979048;1686051;2800117;2755186;221358
03.01.2020 12:00;1;11073359;4548;1963302;1810424;2800487;2758578;206121
03.01.2020 13:00;1;11072086;3558;1945143;1784594;2800179;2764017;193590
03.01.2020 14:00;1;11051441;1422;1905860;1829458;2800077;2804344;206765
03.01.2020 15:00;1;11286493;0;1882176;1850749;2800431;2769179;228095
03.01.2020 16:00;1;11385260;0;1795394;2064094;2800589;2655225;245615
03.01.2020 17:00;1;11407619;0;1870486;2165189;2800158;2707281;248040
03.01.2020 18:00;1;11375256;0;1893668;2059469;2799929;2821521;255222
03.01.2020 19:00;1;11359588;0;1904624;1866537;2799913;2849743;227395
03.01.2020 20:00;1;11199013;0;1840831;1740479;2800320;2883153;233498
03.01.2020 21:00;1;10793593;0;1927265;1514690;2800556;2863244;244142
03.01.2020 22:00;1;10860608;0;1951606;1418055;2800790;2804469;236005
03.01.2020 23:00;1;10633628;0;1943704;1245528;2801147;2729318;230066
04.01.2020 00:00;1;10144209;0;1929097;1048416;2800663;2595041;230508
04.01.2020 01:00;1;9806738;0;1937642;876604;2800688;2563781;238780
04.01.2020 02:00;1;9568179;0;1904089;893457;2800660;2534033;243236
04.01.2020 03:00;1;9462905;0;1855001;878016;2800649;2528815;238503
